Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee
Cristiano Ronaldo,33,Portugal,Centre-Forward,100000000,Real Madrid,117000000
Patrik Schick,22,Czech Republic,Centre-Forward,20000000,Sampdoria,42000000
Lucas Paquetá,21,Brazil,Attacking Midfield,15000000,Flamengo,38400000
Radja Nainggolan,30,Belgium,Central Midfield,45000000,Roma,38000000
Lautaro Martínez,20,Argentina,Centre-Forward,25000000,Racing Club,25000000
Javier Pastore,29,Argentina,Attacking Midfield,15000000,PSG,24700000
Simone Verdi,25,Italy,Attacking Midfield,25000000,Bologna,24500000
Justin Kluivert,19,Netherlands,Attacking Midfield,15000000,Ajax,17250000
Joaquín Correa,23,Argentina,Second Striker,10000000,Sevilla FC,17850000
Grégoire Defrel,27,France,Centre-Forward,10000000,Sassuolo,15000000
M'Baye Niang,23,France,Centre-Forward,10000000,AC Milan,12000000
Manolo Gabbiadini,27,Italy,Centre-Forward,10000000,Southampton,11900000
Gianluca Lapadula,28,Italy,Centre-Forward,7000000,AC Milan,11000000
Christian Kouamé,20,Ivory Coast,Centre-Forward,2800000,Cittadella,6350000
Yann Karamoh,19,France,Left Wing,7000000,SM Caen,6500000
Juraj Kucka,31,Slovakia,Central Midfield,2500000,Trabzonspor,6400000
Federico Santander,27,Paraguay,Centre-Forward,2000000,Copenhagen,6500000
Diego Falcinelli,27,Italy,Centre-Forward,3800000,Sassuolo,7000000
Lukasz Teodorczyk,27,Poland,Centre-Forward,7500000,RSC Anderlecht,7000000
Ignacio Pussetto,22,Argentina,Centre-Forward,7000000,Huracán,8000000
Andrea Favilli,21,Italy,Centre-Forward,4000000,Ascoli,7500000
Ronaldo Vieira,20,England,Central Midfield,5000000,Leeds,7350000
Valon Berisha,25,Kosovo,Left Midfield,10000000,Salzburg,7600000
Khouma Babacar,25,Senegal,Centre-Forward,8000000,Fiorentina,7000000
Federico Di Francesco,24,Italy,Left Wing,3500000,Bologna,7450000
Lucas Castro,29,Argentina,Attacking Midfield,7000000,Chievo Verona,5900000
Jens Odgaard,19,Denmark,Attacking Midfield,800000,Inter,5820000
Jasmin Kurtic,29,Slovenia,Central Midfield,5000000,Atalanta,5300000
Felipe Vizeu,21,Brazil,Centre-Forward,1500000,Flamengo,5000000
